transport_index_andrsn,occupation_index_andrsn,firms_index_andrsn,consumption_index_andrsn,agriculture_index_andrsn,r2012,t,left,right,mainsample
.2294292,-.53692758,-.22754674,1.4276736,.82491314,0,0,-42,0,1
-.68574971,1.4479719,-.36850739,1.0348541,1.2640436,0,0,-71,0,1
.67926675,.052933734,2.2990394,1.8552666,.7373383,0,0,-3,0,1
1.3638802,-1.3651831,.35144857,.38105056,-.091568023,1,1,0,75,1
2.7288966,-.2885333,.055832535,1.1738154,1.4073701,0,0,-43,0,1
.2294292,-.44346148,.27563861,.80085826,.79718453,0,1,0,61,1
.67926675,-.82208002,-.10425569,1.5735885,.56368047,0,0,-78,0,1
1.83038,-1.7701906,1.559064,1.0716432,1.4336857,1,1,0,61,1
1.5809138,-1.1077631,-.73073208,.82949257,.10779389,0,0,-64,0,1
.2294292,-.6986447,.42183858,1.8715464,1.3974888,0,0,-72,0,1
.2294292,.27337673,.19350407,2.3701606,2.0072443,0,1,0,4,1
.2294292,-.40908319,-.6269474,2.3428595,1.3872002,0,0,-40,0,1
-.68574971,-.41349646,-.84675348,1.5908147,1.0204668,0,0,-82,0,1
.2294292,-.042020723,.68808627,1.4245437,1.2220265,0,0,-17,0,1
1.3638802,-.80053878,.38727227,1.2702038,1.2359006,1,1,0,16,1
1.3638802,.67339903,.57852423,2.1703334,1.7752866,1,1,0,27,1
.2294292,.10556984,-1.1301328,.82717597,1.4763126,0,0,-80,0,1
2.9648309,.98938048,-.44735283,1.5643764,1.9902929,1,1,0,38,1
2.7320268,.025841827,-.10425569,1.2628779,1.2838715,0,1,0,4,1
.21589714,-.91121858,-1.1301328,1.6879489,.44850615,0,0,-52,0,1
.21589714,.29770491,-.44735283,1.9200435,1.3950435,0,0,-40,0,1
.2294292,-1.0160168,-.6269474,.87257826,.12197933,0,0,-78,0,1
-.68574971,-.023029745,-.84675348,1.4666284,.93458796,0,0,-63,0,1
-.68574971,.41276076,-.16397354,2.6173546,1.3368816,0,0,-76,0,1
.21589714,-.60305625,-.36850739,.87755084,.04072886,0,0,-47,0,1
1.131076,-.83963758,.14971721,.80437762,.55643028,1,1,0,17,1
1.131076,-.74658221,1.3708663,.7650829,.56074172,0,0,-51,0,1
-.68574971,.32951891,.055832535,1.6778512,1.1829693,0,0,-41,0,1
1.83038,-.57376516,1.1046185,1.9634334,.27767861,0,1,0,71,1
-.68574971,-.73226595,-1.1301328,.48472565,-.068129852,0,0,-67,0,1
.21589714,.28478062,-.10425569,2.6485951,1.3779951,0,0,-19,0,1
-.68574971,-.8003183,-.22754674,1.3880004,.92932445,1,1,0,52,1
.2294292,.864362,-.10425569,1.6599171,.68817729,0,1,0,56,1
.2294292,-.13764143,.23542714,1.5825992,.88803995,0,1,0,76,1
.2294292,1.6311411,-.97828776,2.5734577,1.7792977,1,1,0,13,1
-.68574971,-1.7253447,-1.8129127,1.3460333,1.7820227,0,0,-80,0,1
.2294292,-.49068016,-.36850739,.79145473,.24874958,1,1,0,1,1
1.3638802,-1.7701906,.23542714,1.1200333,1.0293849,0,0,-12,0,1
1.5944458,-1.307804,.103893,.87678605,1.229622,1,1,0,74,1
.44870123,.17389464,.0053063412,-.82517219,-.51679975,1,1,0,36,1
.2294292,-1.1590811,-.047952123,-.36801171,-.37277314,1,1,0,45,1
-.68574971,.13705859,-.6269474,.3629702,.46113881,0,0,-38,0,1
.44870123,-1.144024,.42183858,.13137291,-.04152004,0,1,0,13,1
.2294292,-.81109291,.0053063412,.29136553,.036012743,0,1,0,8,1
1.83038,-.68842268,.63482785,.8299126,-.699449,0,1,0,47,1
1.3638802,-1.0257481,-.36850739,-.30687705,-.48660356,1,1,0,46,1
1.3638802,-1.2106423,-1.3097274,-.35344845,-.10267841,1,1,0,23,1
-.68574971,-1.7701906,-.36850739,2.1958911,-.19965652,1,1,0,68,1
.2294292,-.65953058,.103893,1.0309528,.76197386,0,1,0,43,1
.44870123,.0079363016,-.29550767,1.0483423,.44033453,1,1,0,75,1
1.3638802,.77514565,-.36850739,.23912661,.03494845,0,0,-30,0,1
5.2314949,1.7573963,1.4213924,2.5341561,1.6125418,1,1,0,39,1
-.68574971,1.5850428,.103893,.82379991,.91870236,0,1,0,61,1
-.68574971,.56531489,.35144857,-.41202763,.64578551,0,0,-59,0,1
.2294292,.05748244,-.53306276,-.645464,-1.4448382,0,0,-58,0,1
.44870123,1.6938335,-.29550767,1.6465687,.74515426,0,1,0,36,1
1.3638802,1.4665155,-.22754674,-.19134337,.89526737,1,1,0,77,1
.2294292,1.8549203,-.047952123,.64767909,.5760842,1,0,-78,0,1
.44870123,-.51120698,2.3040781,-.18660879,-.68293035,0,0,-46,0,1
-.68574971,1.0475587,-.53306276,-.034303576,-2.2035794,0,0,-82,0,1
2.7288966,1.1864601,-.10425569,1.087664,.39278567,0,0,-5,0,1
-.68574971,1.7611389,-1.3097274,2.2978387,2.1349554,1,1,0,54,1
.2294292,-1.4675717,-1.5295335,2.4102757,.99736249,0,0,-16,0,1
2.2655272,.16535965,-.44735283,1.677462,1.0977298,1,1,0,36,1
1.3638802,-1.3235251,-.047952123,.90262634,.37500313,1,0,-1,0,1
.2294292,1.9520215,-.22754674,1.2115918,-.3797029,1,1,0,61,1
2.2655272,.46313655,.103893,.049200796,.32144487,0,0,-65,0,1
.2294292,.89607483,-.10425569,2.3902802,.89680666,0,1,0,39,1
.2294292,-1.0652262,-1.1301328,.73298436,1.1712104,1,1,0,50,1
4.3298473,-.74406719,-.10425569,.0076733604,-.3288334,0,1,0,6,1
-.68574971,-1.2158185,.60707837,1.3990926,.47151762,1,0,-60,0,1
1.131076,.10450025,1.7788701,.77567285,-1.4669578,1,0,-24,0,1
1.3638802,.34170264,2.1041725,.72119457,.42475358,1,1,0,8,1
1.131076,1.868188,.85463393,-.33589652,-.93797779,0,1,0,2,1
1.5944458,1.2159908,2.8022249,-.097249821,-.9161129,1,0,-36,0,1
2.951299,1.6903034,1.3708663,-.72287297,-.80956924,1,0,-3,0,1
.2294292,1.9111183,2.4744151,.16810963,-1.6067178,1,1,0,42,1
-.68574971,1.8236696,3.0018208,.75760037,.4947857,1,1,0,73,1
1.3638802,-.57026696,2.4443681,.2398928,-1.1341223,1,0,-24,0,1
1.3638802,.7369988,1.6212981,-.87841821,-1.6751102,1,0,-70,0,1
.2294292,-1.636191,.99705249,.23488417,-1.0916431,0,1,0,29,1
2.2655272,-1.7701906,2.6376693,.11142496,-1.2979096,0,1,0,33,1
2.2655272,-1.500465,1.7873985,-.89532024,-1.64855,1,1,0,72,1
.2294292,1.5384424,2.2734523,.1607032,-1.3749642,0,1,0,9,1
.2294292,-.28587297,1.9655769,.96360803,-.080591753,0,1,0,31,1
2.4960926,-1.0799791,1.907187,.80522233,-.83564192,1,1,0,67,1
-.68574971,-.83347505,2.4701784,-.76030946,-1.3161114,0,1,0,42,1
1.3638802,-.32083359,.83249718,-1.377095,-1.2415736,0,1,0,17,1
2.7288966,-1.347212,2.4088674,1.5585474,.25806803,0,0,-35,0,1
.44870123,-1.4351915,1.4811103,-.46451125,-.25106254,0,0,-35,0,1
1.813718,-1.5043182,1.8920319,-.55839008,-.71562338,1,1,0,50,1
1.3638802,-1.6400433,1.3837427,-1.1767858,-1.0303102,1,1,0,6,1
1.3638802,-.37752622,2.0665226,-.98259562,-1.5898415,1,0,-26,0,1
.44870123,-1.6150985,1.9796493,-.80468655,-.71610534,1,0,-48,0,1
.2294292,-1.7701906,2.0405991,.14165953,-.22942001,1,0,-64,0,1
.2294292,-.19858991,1.2168589,-.032339979,-.36738846,1,1,0,59,1
-.68574971,-1.077686,1.1214575,-1.1306491,.62997127,1,0,-20,0,1
1.3638802,-1.5321422,2.3386445,1.1899443,.9131223,1,1,0,27,1
2.2655272,1.6283507,.63482785,1.1794074,.74381709,1,1,0,40,1
1.813718,.75444019,.54911792,.36253175,.21523602,1,0,-64,0,1
.2294292,1.1336628,1.1542951,1.377043,.2351682,1,1,0,20,1
-.68574971,1.632144,.35144857,-.53484905,.08297921,1,0,-81,0,1
-.68574971,-.17121212,.14971721,.83405644,-.37439299,0,1,0,26,1
.21589714,.70202488,.68808627,1.0993506,.44289806,1,0,-21,0,1
1.131076,.59848982,.7629357,1.3002534,.20013461,0,1,0,41,1
.2294292,1.7258095,.60707837,.8232767,.43762124,1,1,0,28,1
2.7288966,1.7062151,.95841855,1.1178416,.26360583,1,1,0,42,1
1.3638802,1.3631972,1.1703124,1.2410411,.34867805,1,1,0,69,1
1.3638802,1.0335537,.73861247,1.0880177,-.016962849,1,1,0,50,1
.44870123,1.1169099,1.3578192,1.5851572,-1.7096493,1,1,0,72,1
.2294292,-.45826337,.876284,1.4281189,-1.5204881,1,0,-30,0,1
2.7288966,-.39267901,.97792494,1.5993284,.33563757,0,1,0,33,1
1.3638802,.1863568,.103893,1.8830093,-.19086516,1,0,-81,0,1
3.1818645,-.41665897,.055832535,2.5173938,.53795856,0,0,-1,0,1
1.3638802,.57029128,.57852423,.80312651,-.22417472,0,0,-30,0,1
1.3638802,1.8054779,.73861247,1.7234726,-.077774785,1,0,-58,0,1
-.68574971,1.4202768,.68808627,1.9339694,.22779116,1,0,-64,0,1
1.3638802,.75656676,1.070052,1.5010153,-.32540721,0,1,0,36,1
.2294292,-.7747153,-.44735283,1.6572658,.34006992,1,0,-63,0,1
-.68574971,.67060423,-.29550767,.9611252,.33106184,1,0,-48,0,1
.44870123,1.3066379,.103893,1.2081165,.2612974,0,1,0,3,1
