"outcome","rv0","apply","Z","D"
0,-0.366618,1,0,0
0,-0.381168,1,0,0
0,0.632612,1,1,1
0,0.613,1,1,1
0,0.99136,1,1,1
0,0.852372,1,1,1
0,-0.865898,1,0,0
0,0.237524,1,1,1
0,0.187578,1,1,1
0,-0.897192,1,0,0
0,0.50961,1,1,1
0,0.286256,1,1,1
0,0.989412,1,1,1
0,-0.77516,1,0,0
0,0.526396,1,1,1
0,0.32153,1,1,1
0,-0.781004,1,0,0
0,0.874778,1,1,1
0,0.305266,1,1,1
0,0.11374,1,1,1
0,0.40395,1,1,1
0,-0.334186,1,0,0
0,0.232144,1,1,1
0,0.704972,1,1,1
0,0.0663220000000001,1,1,1
0,0.821508,1,1,1
0,0.391274,1,1,1
0,0.55291,1,1,1
0,0.555554,1,1,1
0,0.383658,1,1,1
0,-0.662692,1,0,0
1,-0.795066,1,0,0
0,0.0275599999999999,1,1,1
0,0.854308,1,1,1
0,-0.110162,1,0,0
0,0.0857619999999999,1,1,1
0,0.850838,1,1,1
0,0.448536,1,1,1
0,0.990824,1,1,1
0,-0.9939,1,0,0
0,0.597204,1,1,1
0,0.238854,1,1,1
0,0.916056,1,1,1
0,0.566818,1,1,1
0,-0.656216,1,0,0
0,0.962532,1,1,1
0,0.985,1,1,1
0,0.149838,1,1,1
0,-0.298682,1,0,0
1,-0.794986,1,0,0
0,0.319816,1,1,1
0,0.119558,1,1,1
0,0.140604,1,1,1
0,-0.431614,1,0,0
0,-0.00932000000000007,1,0,0
0,-0.314446,1,0,0
0,0.2647,1,1,1
0,-0.692584,1,0,0
1,0.18917,1,1,1
0,0.773398,1,1,1
1,0.721138,1,1,1
0,0.736488,1,1,1
0,-0.131594,1,0,0
0,0.52655,1,1,1
0,0.803888,1,1,1
0,0.868796,1,1,1
0,0.0339299999999999,1,1,1
0,-0.615018,1,0,0
0,0.480196,1,1,1
0,0.64086,1,1,1
0,0.771464,1,1,1
0,0.153008,1,1,1
0,0.643748,1,1,1
0,0.552798,1,1,1
0,-0.189014,1,0,0
0,0.60804,1,1,1
0,-0.896832,1,0,0
0,0.546402,1,1,1
1,-0.144752,1,0,0
0,-0.519236,1,0,0
0,-0.83858,1,0,0
0,0.00282400000000016,1,1,1
0,0.582344,1,1,1
0,0.0154299999999999,1,1,1
0,0.753312,1,1,1
0,0.260834,1,1,1
0,0.90187,1,1,1
0,0.516016,1,1,1
0,0.824936,1,1,1
1,0.233824,1,1,1
0,0.0183259999999998,1,1,1
0,-0.931672,1,0,0
0,0.902602,1,1,1
0,0.387804,1,1,1
0,0.79084,1,1,1
1,0.721578,1,1,1
0,0.801788,1,1,1
0,-0.432948,1,0,0
0,-0.35374,1,0,0
0,-0.252786,1,0,0
1,-0.916842,1,0,0
0,0.972446,1,1,1
0,0.531434,1,1,1
0,0.371696,1,1,1
0,0.935528,1,1,1
0,-0.117762,1,0,0
0,0.386458,1,1,1
0,0.282844,1,1,1
0,0.913238,1,1,1
0,-0.14626,1,0,0
0,0.19093,1,1,1
0,0.0582919999999998,1,1,1
0,0.704318,1,1,1
1,0.474148,1,1,1
0,0.0672540000000001,1,1,1
0,-0.0730580000000002,1,0,0
0,0.489836,1,1,1
0,-0.99372,1,0,0
0,0.680896,1,1,1
0,-0.491256,1,0,0
0,0.417808,1,1,1
0,-0.865098,1,0,0
0,-0.37258,1,0,0
0,-0.0671419999999998,1,0,0
0,0.821358,1,1,1
0,0.328868,1,1,1
0,0.301842,1,1,1
0,-0.231478,1,0,0
0,-0.468928,1,0,0
0,0.0124400000000001,1,1,1
0,-0.8481,1,0,0
