"","beta.exposure","beta.outcome","se.exposure","se.outcome"
"14",-0.0051,0.00349009618269859,0.0066,0.0120482087908209
"15",-0.0254,0.0406807185345382,0.0051,0.0108010764527742
"17",0.0077,-0.0408663551773033,0.0073,0.0129358758965187
"22",0.0173,0.0286825074112769,0.0059,0.0108645502256373
"58",0.0063,-0.00908504588393608,0.0095,0.0172605205040425
"59",-0.0023,0.0172946716764405,0.0063,0.0108179764545393
"62",-0.0158,0.00619672584201099,0.0058,0.0124749228613623
"65",0.0054,-0.0181407252712985,0.0111,0.0200749633953945
"76",-0.0375,-0.0189132528844513,0.0051,0.0109189814001535
"80",0.0267,0.040138250425933,0.0056,0.0115091645786772
"98",-0.0064,0.0262148437769229,0.0086,0.0179314725221708
"101",0.011,0.0120222661907087,0.005,0.0109857473811527
"105",-0.0221,0.223218296040903,0.0104,0.020293785496171
"116",0.0093,-0.021301815731323,0.006,0.0110342964771324
"118",-0.0124,-0.0252086132822186,0.0057,0.011983944888005
"131",0.0221,0.0251454028860063,0.0057,0.0107827278794292
"134",0.0147,0.0131656720244154,0.0057,0.0123690893438152
"142",0.013,0.0315865861561466,0.005,0.0109699886782081
"152",0.0166,0.0018850042488239,0.0064,0.0132157135880835
"153",0.0077,-0.0182521774907312,0.0071,0.0124465659752837
"165",0.0141,0.0117130181064618,0.007,0.015353717447747
"183",0.0077,-0.0201066124896091,0.0078,0.0137177972768863
"184",0.0173,-0.00902104535777115,0.0101,0.0196433329607032
"196",0.0409,-0.0554425408555307,0.0099,0.0197881901186897
"201",0.0063,-0.00147436493320815,0.0099,0.0176748119758838
"202",0.0236,0.0565956916253201,0.0079,0.0163543731366743
"222",0.0126,0.0201040665153172,0.0051,0.0107944920365021
"224",-0.0172,0.000731370621841224,0.0067,0.0118104674672891
"225",-0.0196,-0.036238344564069,0.0082,0.0145741664572373
"226",-0.008,-0.00822397981997763,0.006,0.010925873089185
"235",0.0176,0.0157209961874055,0.0085,0.0149324025985488
"241",0.0222,0.0178145771852865,0.0172,0.0327607192657898
"242",-0.0355,-0.00565706708434861,0.0076,0.0158094907421027
"245",-0.0098,0.00988676440922856,0.0069,0.0128566873168194
"247",0.0029,-0.00590297308405779,0.0059,0.0108031395698728
"254",0.0022,0.00236485894829211,0.0073,0.0126502439186344
"258",0.0565,0.0343468612496333,0.0118,0.0218114934468931
"260",-0.0256,0.0563823565381037,0.0139,0.0288105962558237
"268",0.0193,0.0122418784214379,0.0091,0.0156091050068881
"269",0.0251,-0.00473652179339873,0.006,0.0128806984881583
"273",0.0042,-0.0113570206666829,0.0105,0.0208472276318964
"274",0.0098,0.0120310893085134,0.0077,0.0140048778263504
"279",0.0053,-0.0040408694350283,0.0055,0.0116664004392553
"280",0.0303,0.000452204540736177,0.0087,0.0187366149439248
"295",0.027,-0.0934117967692128,0.0253,0.0509949871442608
"302",0.0095,-0.00725523660191588,0.0118,0.0250517724866168
"304",0.0217,0.0136052476547417,0.0071,0.0143916903342828
"315",0.0148,0.0143691277345237,0.0051,0.0108624871085388
"316",0.0093,0.00246344960793988,0.0052,0.0113421398859079
"323",0.0133,0.0151139130071167,0.0052,0.0108155182724643
"327",-0.011,0.0395359519214686,0.0063,0.0139730531477019
"334",0.0167,-0.0114484562606483,0.005,0.010905154125982
"340",-0.0335,-0.0611613258684033,0.016,0.0274721600121371
"341",0.0295,0.0269633602187367,0.0051,0.0109951850444761
"344",-0.0134,0.0158014138581422,0.0052,0.0108968138653707
"352",0.0232,0.0083191465831639,0.0052,0.011273574164461
"360",0.0045,-0.00175470304040964,0.0059,0.0124337044154988
"362",0.0131,0.0624189493763769,0.0061,0.0110567273885661
"369",0.0057,0.0069057796823006,0.0062,0.0111917518182529
"371",-0.0028,-0.024432266707628,0.0068,0.0110304336195861
"373",-0.016,0.00698992852225821,0.006,0.0108734172395505
"380",-0.0203,0.0184553286807801,0.0055,0.0119993524220818
"387",-0.0037,0.0456225424273014,0.0064,0.0110982970032974
"389",-0.0351,-0.00856632557001902,0.0051,0.0110041398506061
"393",0.0033,-0.031791976047728,0.0052,0.0112630829945341
"396",0.031,0.0272140508942703,0.0098,0.0144549885227121
"402",0.0152,0.0140763406909571,0.0059,0.0108368956772945
"403",0.0099,0.0192878622742261,0.0089,0.0164235095075315
"428",-0.0128,0.0560698162457207,0.0054,0.0108996232163135
"431",-0.0258,-0.0255607478644512,0.005,0.0109005889307
"433",0.0075,0.00857102245362646,0.007,0.0129989546044055
"436",-0.0106,-0.0797131381956241,0.0082,0.0143211053918458
"439",-0.0082,-0.00795915459751324,0.0059,0.012501743383644
"445",-0.0029,0.0128675296556141,0.0087,0.0143717176049241
"451",-0.0122,-0.0119712150165456,0.0053,0.0112081250667162
"455",0.0022,0.0209724632293919,0.008,0.01176507889112
"456",-0.0038,-0.010865252563373,0.0051,0.0110495723228837
"460",-0.0079,0.0344836415236594,0.0088,0.0158136608724084
"473",0.0051,0.0360731635078559,0.0055,0.0116378679687428
"476",0.0272,-0.0105433623998837,0.0051,0.0109764853022633
"478",-0.0075,0.00870780272765249,0.0053,0.0117447110967849
"481",0.0048,-0.0125349727377639,0.0079,0.0129400899229328
"489",-0.015,-0.0510274702645366,0.0097,0.0207080769680124
"493",0.0036,0.00990963428174704,0.0066,0.0116336978384371
"501",-3e-04,0.000512645092503326,0.0077,0.013626186098487
"505",0.0027,0.0106994130655328,0.0075,0.0120002742403599
"506",0.0043,-0.0270422854217851,0.0064,0.0114623713270367
"507",-0.0243,0.019464895279729,0.0103,0.0214916225043938
"520",-0.0172,0.0154984429174081,0.006,0.0109470310134727
"522",-0.0194,-0.0203639314775233,0.0053,0.0108236829486418
"524",-0.0028,-0.0293120653991079,0.0082,0.0138803006704821
"525",-0.0111,-0.0111137484334826,0.0069,0.0116641178416143
"534",-0.0146,-0.0210194759615748,0.0077,0.0144639872249506
"549",-0.0077,-0.0103035579592533,0.0056,0.0127717044508006
"556",0.0113,0.0179662382400875,0.0061,0.0111655458414899
"561",-0.0332,-0.0228624979722477,0.0063,0.0133129873644768
"565",0.0118,0.0201087195028162,0.006,0.0108819330845957
"575",0.0065,-0.0108822842534636,0.0058,0.011677330570267
"598",-0.0076,-0.0151615841809268,0.0054,0.0117722339568024
"603",-0.0013,-0.0319780955476864,0.0083,0.0141271723845778
"610",-0.0189,-0.0211047661003529,0.005,0.0108227611303637
"617",0.0301,-0.00132488990460949,0.0082,0.0151623304147709
"626",-0.0145,-0.0418538859297948,0.006,0.0132913904791043
"644",0.0051,0.00072506275105254,0.0065,0.0116971277151918
"651",0.0067,-0.000815313150088969,0.0101,0.0174754358511642
"652",0.0146,-0.0130757727942468,0.0052,0.0111687941535174
"656",0.0098,-0.0223560685687053,0.0054,0.0116159638106109
"658",0.0249,-0.0265288326408857,0.0052,0.0111928053248564
"659",0.0134,0.0204599761628792,0.005,0.0108717052913197
"668",0.0028,-0.0637520741909374,0.0053,0.0113406913143281
"670",-0.0045,0.00725690465403815,0.0052,0.0111728325954977
"679",-0.006,-0.0282679086666762,0.0062,0.0113506996270617
"682",0.004,-0.00329196670745986,0.0067,0.0120907880160472
"687",0.0059,-0.00942405552973294,0.0102,0.0162388824752614
"691",0.079,0.0453868203247598,0.015,0.0340087295260061
"693",-0.0111,-0.0116245235517646,0.0057,0.0119584412489777
"695",0.0568,0.0721673971477826,0.0068,0.0143781264367623
"698",0.0049,-0.0155190301922855,0.0084,0.0147066449126322
"699",-0.0252,0.0169977145025682,0.0057,0.0122823945295657
"702",-0.0129,0.000217570183762684,0.0056,0.011373832876231
"706",-0.0359,0.0195074745049553,0.0129,0.0225278340411905
"713",-0.0036,-0.00944130670036588,0.0064,0.011899752151939
"721",-0.0104,-0.0201949753559808,0.0063,0.0115038092534426
"727",-0.0094,-0.00970222516917548,0.0056,0.011916739945921
"728",-0.0298,0.00958822697545096,0.0333,0.0512280754802936
"732",-0.0155,-0.0659710224746394,0.0064,0.0118140669481845
"741",0.0111,-0.0605068348909553,0.0085,0.0179243174564884
"743",-0.0228,-0.016757646685287,0.012,0.0213502331389773
"744",0.0069,-0.016726787721025,0.006,0.0108869372409625
"745",-0.0117,0.0224538252022919,0.0064,0.0117099453788682
"749",-0.0071,0.0465706983704857,0.0304,0.047416137419825
"751",0.0096,-0.0198374854485136,0.0056,0.0122730007623508
"752",-0.0561,-0.00457476463364716,0.0057,0.0122110633532845
"758",-0.0146,-0.0124246618171518,0.0088,0.0158332385367908
"760",-0.0115,-0.0132107972239336,0.0065,0.011819773442287
"764",-0.0114,-0.00113330533914524,0.0061,0.0111879328568151
"767",0.0282,0.0330068447460414,0.0062,0.0111383302542318
"768",-0.0056,0.0126881701563618,0.0062,0.0134217619212921
"770",-0.0159,-0.00500657065277233,0.0055,0.0121258171106148
"771",-0.0179,-0.0188150572897799,0.005,0.0110074759548507
"778",-0.0367,0.00972031036586955,0.0063,0.0134678967313054
"783",-0.0013,0.00400628369115631,0.0061,0.0109697253015572
"789",-0.0078,-0.00617148557963456,0.0064,0.0115761061441104
"791",-0.0094,0.0445453319251837,0.0054,0.0118657326678664
"792",-0.0072,-0.0216402547277096,0.0054,0.0111452219432633
"794",-5e-04,0.00560320655924273,0.0066,0.0122495602404221
"795",0.038,0.0223280628514946,0.0067,0.0144534521589153
"798",0.0112,0.0046542604861058,0.0065,0.0111498310346538
"799",0.0146,0.00953555164527406,0.0056,0.0121976750401978
"805",0.0046,-0.0184815785536516,0.0129,0.0230524803297524
"808",-0.0158,0.00303358543372045,0.0064,0.0113633856024126
"811",0.028,-0.0125736452093355,0.0089,0.0162085941604097
"818",-0.0102,-0.00104197948545104,0.0069,0.0123032890772025
"822",-0.0034,0.0101725719715467,0.0062,0.0111684868807581
"830",-0.0097,-0.0487312648299084,0.0092,0.0159862164748462
"834",0.0222,-0.0293922196931937,0.0066,0.0134959024485161
"839",0.0332,-0.0110383349191126,0.0051,0.0109803481598096
"841",0.0341,0.000821686865040374,0.0066,0.0139724386021832
"842",-0.0763,-0.0410208694791555,0.0052,0.010936100882461
"843",-0.0053,-0.0219571846309407,0.0067,0.0118025661677626
