center,n0,mean0,sd0,n1,mean1,sd1,n5,mean5,sd5
1,7,0.43,4.58,7,-5.43,5.53,8,-2.63,3.38
2,11,0.10,4.21,11,-2.59,3.95,12,-2.21,4.14
3,6,2.58,4.80,6,-3.94,4.25,7,1.29,7.39
4,10,-2.30,3.86,10,-1.23,5.17,10,-1.40,2.27
5,10,2.08,6.46,10,-6.70,7.45,10,-5.13,3.91
6,6,1.13,3.24,5,3.40,8.17,5,-1.59,3.19
7,5,1.20,7.85,6,-3.67,4.89,5,-1.40,2.61
8,12,-1.21,2.66,13,0.18,3.81,12,-4.08,6.32
9,8,1.13,5.28,8,-2.19,5.17,9,-1.96,5.84
10,9,-0.11,3.62,10,-2.00,5.35,10,0.60,3.53
11,15,-4.37,6.12,14,-2.68,5.34,15,-2.14,4.27
12,8,-1.06,5.27,9,0.44,4.39,9,-2.03,5.76
13,12,-0.08,3.32,12,-4.60,6.16,11,-6.22,5.33
14,9,0.00,5.20,9,-0.25,8.23,7,-3.29,5.12
15,6,1.83,5.85,7,-1.23,4.33,6,-1.00,2.61
16,14,-4.21,7.53,14,-2.10,5.78,12,-5.75,5.63
17,13,0.76,3.82,13,0.55,2.53,13,-0.63,5.41
18,15,-1.05,4.54,13,2.54,4.16,14,-2.80,2.89
19,15,2.07,4.88,15,-1.67,4.95,15,-3.43,4.71
20,11,-1.46,5.48,10,-1.99,5.63,10,-6.77,5.19
21,5,0.80,4.21,5,-3.35,4.73,5,-0.23,4.14
22,11,-2.92,5.42,10,-1.22,5.95,11,-4.45,6.65
23,9,-3.37,4.73,9,-1.38,4.17,7,0.57,2.70
24,12,-1.92,2.91,12,-0.66,3.55,12,-2.39,2.27
25,9,-3.89,4.76,9,-3.22,5.54,8,-1.23,4.91
26,15,-3.48,5.98,15,-2.13,3.25,14,-3.71,5.30
27,11,-1.91,6.49,12,-1.33,4.40,11,-1.52,4.68
28,10,-2.66,3.80,10,-1.29,3.18,10,-4.70,3.43
29,13,-0.77,4.73,13,-2.31,3.88,13,-0.47,4.95
